date,areaName,areaCode,newCasesByPublishDate
2021-08-26,Northern Ireland,N92000002,1550
2021-08-25,Northern Ireland,N92000002,1771
2021-08-24,Northern Ireland,N92000002,1648
2021-08-23,Northern Ireland,N92000002,1320
2021-08-22,Northern Ireland,N92000002,1485
2021-08-21,Northern Ireland,N92000002,1612
2021-08-20,Northern Ireland,N92000002,2397
2021-08-19,Northern Ireland,N92000002,1963
2021-08-18,Northern Ireland,N92000002,1345
2021-08-17,Northern Ireland,N92000002,1564
2021-08-16,Northern Ireland,N92000002,1306
2021-08-15,Northern Ireland,N92000002,1294
2021-08-14,Northern Ireland,N92000002,1437
2021-08-13,Northern Ireland,N92000002,1389
2021-08-12,Northern Ireland,N92000002,1610
2021-08-11,Northern Ireland,N92000002,1467
2021-08-10,Northern Ireland,N92000002,1305
2021-08-09,Northern Ireland,N92000002,1031
2021-08-08,Northern Ireland,N92000002,1129
2021-08-07,Northern Ireland,N92000002,1349
2021-08-06,Northern Ireland,N92000002,1434
2021-08-05,Northern Ireland,N92000002,1641
2021-08-04,Northern Ireland,N92000002,1040
2021-08-03,Northern Ireland,N92000002,1082
2021-08-02,Northern Ireland,N92000002,872
2021-08-01,Northern Ireland,N92000002,1072
2021-07-31,Northern Ireland,N92000002,1177
2021-07-30,Northern Ireland,N92000002,1101
2021-07-29,Northern Ireland,N92000002,1471
2021-07-28,Northern Ireland,N92000002,1600
2021-07-27,Northern Ireland,N92000002,1473
2021-07-26,Northern Ireland,N92000002,639
2021-07-25,Northern Ireland,N92000002,1264
2021-07-24,Northern Ireland,N92000002,1520
2021-07-23,Northern Ireland,N92000002,1337
2021-07-22,Northern Ireland,N92000002,1430
2021-07-21,Northern Ireland,N92000002,1973
2021-07-20,Northern Ireland,N92000002,1138
2021-07-19,Northern Ireland,N92000002,1776
2021-07-18,Northern Ireland,N92000002,537
2021-07-17,Northern Ireland,N92000002,1402
2021-07-16,Northern Ireland,N92000002,1380
2021-07-15,Northern Ireland,N92000002,1083
2021-07-14,Northern Ireland,N92000002,636
2021-07-13,Northern Ireland,N92000002,511
2021-07-12,Northern Ireland,N92000002,528
2021-07-11,Northern Ireland,N92000002,605
2021-07-10,Northern Ireland,N92000002,445
2021-07-09,Northern Ireland,N92000002,605
2021-07-08,Northern Ireland,N92000002,627
2021-07-07,Northern Ireland,N92000002,570
2021-07-06,Northern Ireland,N92000002,417
2021-07-05,Northern Ireland,N92000002,420
2021-07-04,Northern Ireland,N92000002,533
2021-07-03,Northern Ireland,N92000002,460
2021-07-02,Northern Ireland,N92000002,339
2021-07-01,Northern Ireland,N92000002,326
2021-06-30,Northern Ireland,N92000002,375
2021-06-29,Northern Ireland,N92000002,278
2021-06-28,Northern Ireland,N92000002,211
2021-06-27,Northern Ireland,N92000002,261
2021-06-26,Northern Ireland,N92000002,298
2021-06-25,Northern Ireland,N92000002,229
2021-06-24,Northern Ireland,N92000002,198
2021-06-23,Northern Ireland,N92000002,188
2021-06-22,Northern Ireland,N92000002,187
2021-06-21,Northern Ireland,N92000002,133
2021-06-20,Northern Ireland,N92000002,125
2021-06-19,Northern Ireland,N92000002,158
2021-06-18,Northern Ireland,N92000002,178
2021-06-17,Northern Ireland,N92000002,179
2021-06-16,Northern Ireland,N92000002,143
2021-06-15,Northern Ireland,N92000002,115
2021-06-14,Northern Ireland,N92000002,87
2021-06-13,Northern Ireland,N92000002,70
2021-06-12,Northern Ireland,N92000002,107
2021-06-11,Northern Ireland,N92000002,121
2021-06-10,Northern Ireland,N92000002,109
2021-06-09,Northern Ireland,N92000002,105
2021-06-08,Northern Ireland,N92000002,81
2021-06-07,Northern Ireland,N92000002,54
2021-06-06,Northern Ireland,N92000002,69
2021-06-05,Northern Ireland,N92000002,95
2021-06-04,Northern Ireland,N92000002,73
2021-06-03,Northern Ireland,N92000002,80
2021-06-02,Northern Ireland,N92000002,84
2021-06-01,Northern Ireland,N92000002,54
2021-05-31,Northern Ireland,N92000002,39
2021-05-30,Northern Ireland,N92000002,63
2021-05-29,Northern Ireland,N92000002,68
2021-05-28,Northern Ireland,N92000002,75
2021-05-27,Northern Ireland,N92000002,84
2021-05-26,Northern Ireland,N92000002,66
2021-05-25,Northern Ireland,N92000002,75
2021-05-24,Northern Ireland,N92000002,53
2021-05-23,Northern Ireland,N92000002,77
2021-05-22,Northern Ireland,N92000002,82
2021-05-21,Northern Ireland,N92000002,84
2021-05-20,Northern Ireland,N92000002,90
2021-05-19,Northern Ireland,N92000002,107
2021-05-18,Northern Ireland,N92000002,104
2021-05-17,Northern Ireland,N92000002,82
2021-05-16,Northern Ireland,N92000002,109
2021-05-15,Northern Ireland,N92000002,0
2021-05-14,Northern Ireland,N92000002,96
